	beer_name	abv	brewery	type
9659	Hop Trip Harvest Ale (Fresh Hop Ale)	6.10	Deschutes Brewery	American Pale Ale (APA)
9660	Ink & Dagger	6.50	Amundsen Bryggeri & Spiseri	American IPA
9661	Trillium / Monkish - Oenobier	9.30	Trillium Brewing Company	American Wild Ale
9662	Brewnniversary III	10.00	Two Rivers Brewing Company	Belgian Tripel
9663	Mr. Robusto	6.20	Conshohocken Brewing Company	Robust Porter 
9664	Mill Street Vanilla Porter	5.00	Mill Street Brew Pub	English Porter
9665	Double Dunk	11.90	Prairie Artisan Ales	American Imperial Stout
9666	Trail Vision	5.00	Long Trail Brewing Co.	American Pale Ale (APA)
9667	Black Baal Triple IPA	14.00	To Øl	American Black Ale
9668	Vertigo	9.50	Noble Rey Brewing Company	American Imperial IPA
9669	Old Empire	5.70	Marston, Thompson & Evershed, Plc.	English India Pale Ale (IPA)
9670	Sticky Icky Resinous IPA	6.50	The Dayton Beer Company	American IPA
9671	Krusher	6.00	Ocean City Brewing Company	American IPA
9672	Round A Stout Midnight	5.80	Fretboard Brewing Company	American Stout
9673	Alfie	6.00	Astro Lab Brewing	American Stout
9674	Mint Condition	12.20	Bottle Logic Brewing	American Imperial Stout
9675	Hard Hittin	9.10	Alvarium Beer Company	American Imperial IPA
9676	My Precious	5.30	Sanford Brewing Company	American Pale Ale (APA)
9677	Brown Ale	5.10	Five & 20 Spirits and Brewing	American Brown Ale
9678	40 Acre	?	Mike Hess Brewing - Miramar	American IPA
9679	California Steamin'	?	Bar Hygge / Brewery Techne	California Common / Steam Beer
9680	Northern Heights	8.00	Ten Bends Beer	New England IPA
9681	Trips on Dubs	10.30	Pure Project	New England IPA
9682	Diabolical India Pale Ale	6.66	North Peak Brewing Company	American IPA
9683	Amber Ale	5.25	Crazy Mountain Brewing Company	American Amber / Red Ale
9684	Copperline	5.40	Carolina Brewery	American Amber / Red Ale
9685	Best Damn Root Beer	5.50	Anheuser-Busch	Herb and Spice Beer
9686	Wheelhouse Radler	4.00	Spindrift Brewing Co.	Fruit and Field Beer
9687	Coffee Dino S'mores	10.50	Off Color Brewing	American Imperial Stout
9688	Pineapple Express - Cognac And Whiskey Barrel-Aged	10.50	To Øl	American Imperial Stout
9689	Leinenkugel's Creamy Dark	4.90	Jacob Leinenkugel Brewing Company	European Dark Lager
9690	Hop Odyssey: Citra Session IPA	4.50	Green Flash Brewing Co.	American IPA
9691	Bertinchamps Brune	7.00	Ferme de Bertinchamps	Belgian Dubbel
9692	Zedazeni Premium Beer	5.00	Brewery Zedazeni	European Pale Lager
9693	Petrus Trader Joe's Sour Cranberry Ale	5.00	De Brabandere	Belgian Witbier
9694	DCB DOS	10.00	Peg's Cantina & Brew Pub	American Imperial Stout
9695	June IPA	6.30	Georgetown Brewing Company	American IPA
9696	Hurricane W/ Guava	7.70	Tree House Brewing Company	American Imperial IPA
9697	La Gauloise Christmas	8.10	Brasserie Du Bocq	Belgian Dark Ale
9698	New Zealand IPA	8.30	Upstate Brewing Company	American Imperial IPA
9699	Stone / Green Flash / Pizza Port Highway 78 Scotch Ale	8.80	Stone Brewing	Scotch Ale / Wee Heavy
9700	Why Kick A Moo Cow New Zealand Pale Ale	5.50	Arbor Ales	English Pale Ale
9701	Over The Line	13.00	Pipeworks Brewing Company	Russian Imperial Stout
9702	Peach Silhouette	5.00	Hudson Valley Brewery	American Wild Ale
9703	Cassidy	9.00	Block 15 Brewery & Restaurant	American Wild Ale
9704	Godfather	7.50	Devans Modern Breweries Ltd.	American Adjunct Lager
9705	Pussy Wagon	7.00	Brash Brewing Company	American Imperial IPA
9706	Crowdsurfing on a Rubber Dinghy	6.50	Brouwerij De Musketiers	Belgian Saison
9707	Bump 'N' Rind Watermelon Kölsch	5.60	Boulder Beer / Wilderness Pub	German Kölsch
9708	East India Pale Ale - Wooden Cask	6.60	Beer Nouveau	English India Pale Ale (IPA)
9709	Berliner Weisse - Passionfruit Peach	4.10	North Coast Brewing Co.	Berliner Weisse
9710	Pinky Brewster	7.00	Ghostwood Beer Company	American IPA
9711	Barrel Aged King of Terrors	16.70	Copperhead Brewery	American Imperial Stout
9712	Radz Rotational IPA Series II	8.00	Greater Good Imperial Brewing Company	American IPA
9713	Alaskan Smoked Porter	6.50	Alaskan Brewing Co.	Smoke Porter
9714	Sassy Mojo	?	Stumptown Ales	American Imperial IPA
9715	Imperial Ridgeback	9.00	The Leaning Cask Brewing Company	American Imperial IPA
9716	Papi Chulo	6.50	Commonwealth Brewing Company	New England IPA
9717	Helles Mandarina	4.80	Cloudwater Brew Co.	German Helles
9718	Blackwing Lager	4.90	Union Craft Brewing Company	German Schwarzbier
9719	Bon Vieux Temps	6.10	Allagash Brewing Company	American Wild Ale
9720	Premiere IPA	6.00	Interboro Spirits and Ales	New England IPA
9721	Samuel Adams Berliner Weisse	4.80	Boston Beer Company (Samuel Adams)	Berliner Weisse
9722	Liquid Resume	4.90	Brew Gentlemen	German Kölsch
9723	CIT	4.50	Harsens Island Brewery	American Pale Wheat Ale
9724	Coffee Bob's Ale	6.40	Georgetown Brewing Company	American Brown Ale
9725	Foedre Beer	6.00	Side Project Brewing	American Wild Ale
9726	Three (III)	11.00	Brew Gentlemen	British Barleywine
9727	Luppolo	5.00	Oxbow Brewing Company	German Pilsner
9728	Six Grain - Barrel-Aged	7.40	Austin Street Brewery	English Sweet / Milk Stout
9729	Excursions #3	6.40	Hill Farmstead Brewery	American IPA
9730	Love Stout	5.50	Yards Brewing Co.	Irish Dry Stout
9731	St. Pauli Girl	5.00	St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.	European Pale Lager
9732	RU-55	7.30	Jester King Brewery	American Wild Ale
9733	Kashmir	8.50	Commonwealth Brewing Company	American Imperial IPA
9734	Juri	7.50	Bangor Beer Company	New England IPA
9735	#80 Brut IPA	7.20	Venn Brewing Co.	American Brut IPA
9736	Flannel Weather	9.00	New Trail Brewing Company	New England IPA
9737	Surtur NR 8.8	13.60	Borg Brugghús	American Imperial Stout
9738	Juice God	7.00	Ten Ninety Brewing Company	New England IPA
9739	Duet	7.00	Alpine Beer Company	American IPA
9740	Samuel Adams Cold Snap	5.30	Boston Beer Company (Samuel Adams)	Belgian Witbier
9741	Lucky Sometimes	5.70	Whole Foods - Post Oak	American IPA
9742	George	12.12	Mikkeller ApS	Russian Imperial Stout
9743	A Night To End All Dawns (2016) - Freshly Roasted Organic Coconut	12.20	Kane Brewing Company	American Imperial Stout
9744	Some People Are Immune To Good Banana Stout	10.70	Evil Twin Brewing	American Imperial Stout
9745	Thunder Ann	5.50	Jackalope Brewing Company	American Pale Ale (APA)
9746	Pumpkin Ale	6.00	Kern River Brewing Company	Pumpkin Beer
9747	Proudly We Hail	8.50	Sibling Revelry Brewing	American Imperial IPA
9748	Empty Rowboat IPA	6.90	Lake Monster Brewing	American IPA
9749	Party Shirt Pale Ale	5.50	Pizza Port Solana Beach	American Pale Ale (APA)
9750	Abstraction - Coffee & Vanilla	8.80	Tree House Brewing Company	American Imperial Porter
9751	Citron Noir	6.80	Urban Family Brewing Co.	Belgian Saison
9752	The Run	7.20	Proclamation Ale Company	American IPA
9753	Aw Geez DIPA	8.20	Black Hat Brew Works	American Imperial IPA
9754	Small Batch Hoarders: Pie Happy	16.10	The Bruery	American Strong Ale
9755	Archilune	5.50	Brasserie De La Pleine Lune	American Amber / Red Ale
9756	Wilhelm Scream Pumpkin Ale	5.40	Magic Hat Brewing Company	Pumpkin Beer
9757	Bent Hop - Golden IPA	6.20	Bent Paddle Brewing Co.	American IPA
9758	Seiner	?	Devil's Club Brewing Company	Belgian Saison
9759	Baby Fight Club	7.10	30 Mile Brewing Co.	American IPA
9760	All For One Session IPA	4.75	The Brew Kettle Taproom & Smokehouse / Production Works	American IPA
9761	One Eyed Revenge	?	Lakeland Brewing Company	American Stout
9762	Ruination Double IPA 2.0 - Double Dry-Hopped	8.50	Stone Brewing	American Imperial IPA
9763	Cold Side	7.00	Magnify Brewing Company	American IPA
9764	Twitchy Bitch	7.00	R. Shea Brewing	American Stout
9765	Triple Simcoe Daydream	10.50	Other Half Brewing Co.	American Imperial IPA
9766	Life & Death	6.50	Vocation Brewery	American IPA
9767	Man-O-Awe	6.00	3 Floyds Brewing Co.	American Pale Ale (APA)
9768	Goblin Sauce	8.40	Bellwoods Brewery	American Imperial IPA
9769	Tragedy Of The Common	4.90	Iowa Brewing Company	California Common / Steam Beer
9770	Therapist Imperial IPA	10.40	Dust Bowl Brewing Company - Downtown Taproom	American Imperial IPA
9771	St. Louis Premium Framboise	4.50	Brouwerij Van Honsebrouck N.V.	Belgian Fruit Lambic
9772	Escape To Colorado	6.20	Epic Brewing Company	American IPA
9773	Little by Slowly	3.60	Sapwood Cellars	Berliner Weisse
9774	Dominion Oak Barrel Stout	6.00	Fordham & Dominion Brewing Company	American Stout
9775	Dry County IPA	6.40	Dry County Brewing Company	American IPA
9776	Inharmonic	?	Heavy Gem	Belgian Saison
9777	Loopy 4 Lupulin	8.10	Hand of Fate Brewing Company	New England IPA
9778	Kellerbier	5.40	Köstritzer Schwarzbierbrauerei GmbH & Co.	German Kellerbier / Zwickelbier
9779	There There	7.70	Hopewell Brewing Co.	American IPA
9780	Good Good	8.00	Seperatist Beer Project / Separatist Bar + Bottle	American Imperial IPA
9781	Wipers Times 14	6.50	Brasserie Kazematten	Belgian Pale Ale
9782	Snow Nose	7.00	Three Huskies Brewing	Scotch Ale / Wee Heavy
9783	Mob Scene Ipa	6.50	Liquid Riot Bottling Company	American IPA
9784	Choice Pils	5.50	Castle Danger Brewery	German Pilsner
9785	Heart Of Stone	5.50	Urban Family Brewing Co.	American Wild Ale
9786	Hair of the Wizard	7.30	Southern Grist Brewing Co.	American IPA
9787	Joe Latte Coffee Vanilla Stout	5.50	CB Craft Brewers	English Sweet / Milk Stout
9788	Fujizakura Kogen 20th IPL Summer	6.50	Fujikankokaihatsu Co. Ltd. / Sylvans Restaurant	American Lager
9789	Aunt Sally with Berries and Mint	5.86	Lagunitas Brewing Company	American Wild Ale
9790	Manchado	7.50	Tin Roof Brewing Company	American Stout
9791	Cerveza Fresca - Guava	7.30	El Segundo Brewing Company	American IPA
9792	Run For The Hills	8.00	Acoustic Ales Brewing Experiment	American Imperial IPA
9793	La Vache Folle - ESB	6.00	Microbrasserie Charlevoix	English Extra Special / Strong Bitter (ESB)
9794	Not From Concentrate V.10	7.10	Heist Brewery	American IPA
9795	Oppigårds Thurbo Stout	8.70	Oppigårds Bryggeri AB	American Stout
9796	Sour NE Cappper	6.50	Canton Brew Works	American IPA
9797	Coconut Brah	8.00	Humble Sea Brewing Co.	American Imperial Porter
9798	First Trax Brown Ale	5.00	Fernie Brewing Co.	English Brown Ale
9799	Got To Gose	4.80	Boston Beer Company (Samuel Adams)	Leipzig Gose
9800	The Vigne	7.00	de Garde Brewing	American Wild Ale
9801	Yellow Beer'd	5.00	Trider's Craft Beer	American Blonde Ale
9802	Tropicpale	6.00	Booneshine Brewing Company	American Pale Ale (APA)
9803	Oedipus / Marz Brewing - Golden Sour Ale - No. 9	6.50	Oedipus Brewing	American Wild Ale
9804	Missouri Mule IPA	7.00	Piney River Brewing Co.	American IPA
9805	Tritonia - Cucumber And Lime	4.50	Creature Comforts	Leipzig Gose
9806	Galaxy Showers	8.80	Noble Ale Works	American Imperial IPA
9807	Emptiness	6.40	Greenbush Brewing Company	American Pale Wheat Ale
9808	Subglitch	6.00	Hudson Valley Brewery	New England IPA
9809	Schlafly Passionfruit Saison	6.00	The Schlafly Tap Room	Belgian Saison
9810	Strong Suit	8.20	River Roost Brewery	New England IPA
9811	Diving Bell	9.50	Galway Bay Brewery	Scotch Ale / Wee Heavy
9812	Christmas Blend	?	Cycle Brewing	American Imperial Stout
9813	Figtasma (Double Barrel-Aged On Figs)	9.50	OEC Brewing (Ordinem Ecentrici Coctores)	American Wild Ale
9814	Puck The Beer	4.00	North Coast Brewing Co.	Belgian Saison
9815	Cuvée Des Jacobins Rouge	5.50	Brouwerij Bockor N.V. / Brouwerij Omer Vander Ghinste	Flanders Red Ale
9816	Furious	6.70	Surly Brewing Company	American IPA
9817	Cozmo	5.00	Noon Whistle Brewing	American Pale Ale (APA)
9818	Whiteferrari	8.00	The Veil Brewing Co.	New England IPA
9819	Minute Man	7.00	Three Notch'd Brewing Company - Charlottesville Brewery & Restaurant	American IPA
9820	Doose Juicy	9.00	Ever Grain Brewing Co.	American Imperial IPA
9821	Compass Rose India Pale Ale	6.00	Service Brewing Company	American IPA
9822	Mongo	8.00	Port Brewing	American Imperial IPA
9823	Double Deuce	8.20	New England Brewing Co.	American Imperial IPA
9824	Citra-Hopped Extra Pale Ale	5.00	All Inn Brewing Co	American Pale Ale (APA)
9825	Hugh	5.40	Rhinegeist Brewery	German Hefeweizen
9826	Løkka IPA	7.00	Grünerløkka Brygghus	American IPA
9827	1 Ton of ... Christmas	8.10	To Øl	Berliner Weisse
9828	First Rule	7.50	Ninkasi Brewing Company	American IPA
9829	Goedele's Bloesem	6.00	Brouwerij Lindemans	Belgian Gueuze
9830	The Crisp	5.40	Sixpoint Brewery	German Pilsner
9831	Marshmallow Handjee	15.00	3 Floyds Brewing Co.	Russian Imperial Stout
9832	Rare Breed: Blind Salamander	5.20	Rahr & Sons Brewing Company	English Pale Ale
9833	Samuel Adams New World Tripel (Barrel Room Collection)	10.00	Boston Beer Company (Samuel Adams)	Belgian Tripel
9834	Interstellar Overdrive	8.50	LIC Beer Project	American Imperial IPA
9835	Hyperfocus	6.80	Aeronaut Brewing Company	New England IPA
9836	Belhaven Classic Choice Fruit Beer	4.60	Belhaven Brewery Company Ltd.	Fruit and Field Beer
9837	Excess IPL	7.20	Jack's Abby Brewing	American Lager
9838	Greenskeeper Session IPA	4.90	Land-Grant Brewing Company	American IPA
9839	Samuel Adams Coffee Pale Ale	5.50	Boston Beer Company (Samuel Adams)	American Pale Ale (APA)
9840	Kentucky Vanilla Barrel Cream Ale	5.50	Alltech's Lexington Brewing and Distilling Co.	American Cream Ale
9841	Nutthief	5.40	Chubby Squirrel Brewing Company	American Brown Ale
9842	RIS	10.20	Four Seasons Brewing Company	Russian Imperial Stout
9843	Origin Of Darkness - Kex Collab	11.50	Collective Arts Brewing	American Imperial Stout
9844	Wet Wet	4.10	Weyerbacher Brewing Co.	American Pale Ale (APA)
9845	Thunder Canyon Good Vibrations IPA	7.20	Thunder Canyon Brewery	American IPA
9846	Bean Counter	7.80	Taxman Brewing Co.	Belgian Dark Ale
9847	Bourbon Barrel Aged Vanagandr	7.00	Angry Erik Brewing	American Brown Ale
9848	Peg Leg Imperial Stout	8.00	Heavy Seas Beer	Russian Imperial Stout
9849	Samuel Adams Cherry Wheat	5.30	Boston Beer Company (Samuel Adams)	Fruit and Field Beer
9850	New Harmony	4.20	Branch & Bone Artisan Ales	Berliner Weisse
9851	Hoparazzi	6.00	Parallel 49 Brewing Company	American Lager
9852	Keller Ratte Landbier	5.40	Marin Brewing Company	German Kellerbier / Zwickelbier
9853	Jacob's Summer Celebration	8.80	Oliver Brewing Company	American Amber / Red Ale
9854	Boathouse Reserve Barrel Aged Imperial Stout	10.50	Crystal Lake Brewing	American Imperial Stout
9855	Saison Sauvin	7.00	8 Wired Brewing Co.	Belgian Saison
9856	Vallejo	6.70	Half Acre Beer Company	American IPA
9857	Maoritanga	8.00	Commonwealth Brewing Company	American Imperial IPA
9858	Old Stock Cellar Reserve (Aged In Wheat Whiskey Barrels)	14.44	North Coast Brewing Co.	English Old Ale
9859	Roleta Russa IPA	6.20	Cervejaria Campo Bom (Imigração)	American IPA
9860	Galaxy At Last	7.50	Wild Barrel Brewing Company	New England IPA
9861	Counterbalance IPA	6.10	Counterbalance Brewing Company	American IPA
9862	Saison Rosè	6.00	Oxbow Brewing Company	Belgian Saison
9863	Ginza Lion Special	5.50	Sapporo Breweries Ltd.	American Lager
9864	coco cocoa	5.50	Thornbridge Brewery	English Porter
9865	Escape From IPA	10.00	Pipeworks Brewing Company	American Imperial IPA
9866	The Mad Elf Grand Cru	11.00	Tröegs Brewing Company	Belgian Strong Dark Ale
9867	More Double IPA	9.00	Frost Beer Works	American Imperial IPA
9868	A-Game	6.00	The Alementary Brewing Co.	American IPA
9869	Starlight Lager	4.90	Fat Head's Brewery & Saloon	German Helles
9870	Double Ringer Double IPA	10.00	Upper Hand Brewery	American Imperial IPA
9871	Cantillon Zwanze 2015 (Wild Brussels Stout)	7.00	Brasserie Cantillon	Belgian Dark Ale
9872	Interplanetary Good Vibes Zone	5.60	American Solera	American Wild Ale
9873	String Theory	7.15	Rhinegeist Brewery	American Wild Ale
9874	Neon Neon	3.50	Dry County Brewing Company	Berliner Weisse
9875	Fortunate Circumstance	6.30	Magnify Brewing Company	American Imperial IPA
9876	Frag Out	5.10	Ghost Pixel Beer Studio	American IPA
9877	We Have the Facts And We're Voting Yes	7.00	Mikerphone Brewing	American IPA
9878	Lucky Cat	8.00	Pipeworks Brewing Company	American Pale Ale (APA)
9879	Drie Fonteinen Millennium Geuze	7.00	Brouwerij 3 Fonteinen	Belgian Gueuze
9880	Imperial Beanhead Coffee Porter	9.60	Rushing Duck Brewing Company	American Imperial Porter
9881	Shhhh	5.80	Sixpoint Brewery	American Pale Ale (APA)
9882	Sincerely, Mosaic	6.70	Hop Dogma Brewing Co.	American IPA
9883	Crazy Rays IPA	6.00	Anchorage Brewing Company	American IPA
9884	Dodge	6.50	J. Wakefield Brewing	American IPA
9885	Polar Export	5.07	Antarctica (Companhia Brasileira De Bebidas)	American Adjunct Lager
9886	Goldstar Unfiltered	4.90	Tempo Beer Industries LTD	German Kellerbier / Zwickelbier
9887	La Saison Des Festivals	7.00	Grapevine Craft Brewery	Belgian Saison
9888	Bramble On	?	Brazos Valley Brewing Company	Belgian Witbier
9889	Snow Flyer H. C. Porter	5.50	Rusty Rail Brewing Company	American Porter
9890	Sourbeest	5.80	The Wild Beer Co.	American Wild Ale
9891	Daydream Layers (Citra + Kohatu + Simcoe Cryo)	8.00	Other Half Brewing Co.	American Imperial IPA
9892	Mad Mex Plataversary	7.50	Fat Head's Brewery & Saloon	American IPA
9893	Coffeemaker	5.60	Kent Falls Brewing Company	American IPA
9894	Breakfast Stout	8.30	Founders Brewing Company	American Imperial Stout
9895	Box Set Track #2 - Stairway To Heaven	12.50	The Lost Abbey	American Wild Ale
9896	Frangelic Mountain Brown	9.00	Founders Brewing Company	American Brown Ale
9897	Mr. IPA-Nut	6.30	Noon Whistle Brewing	American IPA
9898	M-Punk	5.00	Noon Whistle Brewing	American Amber / Red Ale
9899	Hollandia	5.00	Swinkels Family Brewers	European Pale Lager
9900	Thursday (2017)	?	Cycle Brewing	American Imperial Stout
9901	Ogre	15.60	903 Brewers	English Oatmeal Stout
9902	Dare Mighty Things - Amarillo	6.40	The Brewing Projekt	American IPA
9903	Seeing Stars	10.00	Solace Brewing	American Imperial IPA
9904	This Creeping Malaise	7.20	SingleCut Beersmiths	New England IPA
9905	Chocolate Rain - Cherry	19.50	The Bruery	American Imperial Stout
9906	St. Sebastiaan Golden	6.70	Brouwerij Sterkens N.V.	Belgian Tripel
9907	Helles Hefeweizen	5.20	Kulturbrauerei Heidelberg	German Hefeweizen
9908	Weisse Versa Wheat	5.20	Karbach Brewing Co.	German Hefeweizen
9909	Smoked Porter - Vanilla Bean	5.90	Stone Brewing	Smoke Porter
9910	Pilot Series Imperial Stout	11.70	Lord Hobo Brewing Company	American Imperial Stout
9911	People power	5.30	Cloudburst Brewing	American Pale Ale (APA)
9912	Turbo Cougar	6.80	Devils Backbone Brewing Company	German Maibock
9913	Long-Range Pils	4.80	Revolver Brewing	German Pilsner
9914	Vanilla Medianoche	14.10	WeldWerks Brewing Co.	American Imperial Stout
9915	St. Austell Clouded Yellow	5.00	St. Austell Brewery	German Hefeweizen
9916	Wavemaker Amber Ale	4.90	Big Storm Brewing Company - Odessa	American Amber / Red Ale
9917	IPA	7.50	Revel Brewing Co	American IPA
9918	Bière De Miel Biologique	8.00	Brasserie Dupont sprl	Belgian Saison
9919	That’s A Paddlin’	8.00	Mikkeller Brewing San Diego	American Imperial IPA
9920	More Green	8.00	Garage Beer Co.	American Imperial IPA
9921	Baby Bear	6.40	Crooked Stave Artisan Beer Project	American Wild Ale
9922	US 101 IPA: Pacific Coast Hopway	7.70	Yergey Brewing	American IPA
9923	Le Soleil (Simcoe)	4.50	Brasserie De L'Ermitage	American Pale Wheat Ale
9924	Sang Du Chêne	8.30	Cascade Brewing / Raccoon Lodge & Brewpub	American Wild Ale
9925	BA Black Lotus	?	Barrel Theory Beer Company	English Sweet / Milk Stout
9926	Sweetwater Waterkeeper Hefeweizen	5.70	SweetWater Brewing Company	German Hefeweizen
9927	Shotgun Betty Hefeweizen Ale	5.80	Lonerider Brewing Company	German Hefeweizen
9928	Shiner Light Blonde	4.20	Spoetzl Brewery / Shiner	American Light Lager
9929	Sibling Maker	12.60	Jack's Abby Brewing	British Barleywine
9930	Double Dry Hopped Double Nelson Daydream	8.50	Other Half Brewing Co.	American Imperial IPA
